flight_id,flight_number,origin_airport_id,destination_airport_id,airline_id,plane_id
385d6768,QF12,KLAX,YSSY,QFA,A388
385d67dd,DL1368,KJFK,KMSY,DAL,A319
385d683f,FX5236,PANC,RKSI,FDX,B77L
385d68f5,KE951,RKSI,OMDB,KAL,B789
385d6a48,QF16,KLAX,YBBN,QFA,A332
385d6a54,TK21,RKSI,LTFM,THY,B77W
385d6aba,G41314,KSFB,KRFD,AAY,A319
385d6b63,EK202,KJFK,OMDB,UAE,A388
385d6c52,SQ33,KSFO,WSSS,SIA,A359
385d6c81,AF647,FMEE,LFPG,AFR,B77W
385d6cb6,DE2315,FIMP,EDDF,CFG,A339
385d6cca,EK775,OMDB,FALE,UAE,B77W
385d6d00,AA1384,KBDL,KORD,AAL,B738
385d6d3a,TK264,LTFM,RPLL,THY,A359
385d6e72,QF74,KSFO,YSSY,QFA,B789
385d6f24,EK247,OMDB,SBGL,UAE,B77W
385d6f82,BF703,FMEE,LFPO,FBU,A359
385d6f9b,CX883,KLAX,VHHH,CPA,B77W
385d6fb7,SQ24,WSSS,KJFK,SIA,A359
385d6fd3,EK262,SBGR,OMDB,UAE,A388
385d7011,MU207,ZSPD,CYYZ,CES,B77W
385d7096,AC92,CYYZ,SCEL,ACA,B788
385d7118,MF811,ZSAM,EHAM,CXA,B789
385d712c,HU7938,LKPR,ZBAA,CHH,A333
385d7138,AI180,KSFO,VABB,AIC,B77L
385d7152,QR774,SBGR,OTHH,QTR,A35K
385d7219,HO1667,ZHCC,LIMC,DKH,B789
385d723c,YP101,RKSI,KLAX,APZ,B789
385d72ae,EK215,OMDB,KLAX,UAE,A388
385d72c0,FM897,ZSNB,LHBP,CSH,B789
385d7363,EK201,OMDB,KJFK,UAE,A388
385d7394,PU972,SVMG,EPWA,PUE,A332
385d73e8,KL862,RJAA,EHAM,KLM,B772
385d743a,DL276,RJTT,KDTW,DAL,A359
385d7463,BA286,KSFO,EGLL,BAW,B77W
385d748b,AF199,VTBS,LFPG,AFR,B77W
385d75b0,KE12,KLAX,RKSI,KAL,B748
385d7610,EK237,OMDB,KBOS,UAE,B77W
385d766c,AA35,KDFW,NZAA,AAL,B789
385d769c,LY9,LLBG,KJFK,ELY,B788
385d76ee,QR755,OTHH,KATL,QTR,A35K
385d7741,AY2,KLAX,EFHK,FIN,A359
385d77b4,EK210,KEWR,LGAV,UAE,B77W
385d7831,CZ496,EHAM,ZSPD,CSN,B77L
385d7836,QR743,OTHH,KBOS,QTR,A359
385d7877,QR732,KDFW,OTHH,QTR,B77L
385d78b8,K4216,KCVG,RKSI,DHK,B77L
385d7935,SQ318,WSSS,EGLL,SIA,B77W
385d7a2f,JL3,KJFK,RJTT,JAL,A35K
385d7a4d,MX536,KBDL,KRSW,MXY,BCS3
385d7a4f,AV229,LFPG,SKBO,AVA,B788
385d7a96,CZ307,ZGGG,EHAM,CSN,A359
385d7ac5,DE2501,OMDB,EDDB,CFG,A20N
385d7ae1,MU712,YSSY,ZSHC,CES,A332
385d7b54,QR739,OTHH,KLAX,QTR,A35K
385d7b75,UL605,YMML,VCBI,ALK,A333
